Altium Designer Pick and Place Locations
C:\Users\User\Desktop\PROJEKTI\120W_DC_SUPPLY\120W_PSU_LM25148\LM25148\Project Outputs for LM25148\Pick Place for LM25148(Only Populated Components).csv

========================================================================================================================
File Design Information:

Date:       03.08.25
Time:       20:19
Revision:   681a22b900e06c1f153e06c78e1c8b908dedef15
Variant:    Only Populated Components
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"C15","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","48.0060","8.3820","270","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","48.0060","8.3820","48.0060","9.1820","Fitted"
"C13","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","43.1800","25.6920","90","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","43.1800","25.6920","43.1800","24.8920","Fitted"
"C12","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","44.7040","25.6920","270","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","44.7040","25.6920","44.7040","26.4920","Fitted"
"C11","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","51.0540","14.7700","270","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","51.0540","14.7700","51.0540","15.5700","Fitted"
"C10","2.2uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","53.0860","18.5420","270","8 pF ±0.05pF 25V Ceramic Capacitor C0G, NP0 01005 (0402 Metric)","0.8000","53.0860","18.5420","53.0860","19.3420","Fitted"
"C8","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","40.6400","25.6920","270","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","40.6400","25.6920","40.6400","26.4920","Fitted"
"C7","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","39.1160","25.6920","90","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","39.1160","25.6920","39.1160","24.8920","Fitted"
"C6","0.1uF","TopLayer","CAP_0603","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","37.5920","25.6920","90","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","0.8000","37.5920","25.6920","37.5920","24.8920","Fitted"
"C5","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","50.1650","25.7810","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","50.1650","25.7810","50.1650","24.3310","Fitted"
"C4","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","47.3710","25.7810","90","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","47.3710","25.7810","47.3710","24.3310","Fitted"
"C3","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","34.1100","23.8760","180","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","34.1100","23.8760","35.5600","23.8760","Fitted"
"C2","10uF","TopLayer","CAP_1206","Chip Capacitor, 2-Leads, Body 3.20x1.60mm, IPC Medium Density","34.1100","21.3360","0","10 µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)","0.9000","34.1100","21.3360","32.6600","21.3360","Fitted"
